Title,Level,Work Group,Report Type,Apprentice Name,Mentor Name,Accountable Manager,Supervisor,Completed By,Manager,Instructor Names,ID,Archive,Workflow Status,Quarter End Date,Date Completed,Created By,Modified By,Created,Modified,Workshop Title,Workshop Category,Location,Region,Approver Comments,Approvers,Approval Link,Written Test Results,tmporiginalID,Escalation Required,Previously Escalated,Level Completed,Link,Apprentice Development Goals,Apprentice Accomplishments,Apprentice Log Book,College Level Completed,Term,Completion Status,Line of Business,Item Type,Path
VAN PELT Lucy,Level 2,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,BEANSON Greg,BROOKS Shield,,21028,FALSE,Approved,,44665,BEANSON Greg,Trades Mentorship Program SA,44665.63184,45152.5686,Bypassing Secondary Underground Faults,Underground,TR2 - Trenton Service Centre,DXLN EAST,,,,,604,FALSE,FALSE,,,Lucy would like more U/G development.?,?Lucy has progressed well in the R2 pole installs.ÿ He has completed many pole conductor relocates.,TRUE,,3,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucy,Level 2,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,BEANSON Greg,BROOKS Shield,,21029,FALSE,Approved,,44804,BEANSON Greg,Trades Mentorship Program SA,44804.55815,45177.39429," Conductor Types, Stranding & Repair",Conductors,TR2 - Trenton Service Centre,DXLN EAST,,,,,1794,FALSE,FALSE,,,Lucy would like to continue to progess with Under ground awareness and bucket work.?,?Lucy accomlishments though the month has created a safe enviroment and utilized others to construct projects with the proper equipment and drive.,TRUE,,3,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucyÿ- Q1ÿ- Quarterly Evaluation & Goal Setting,Level 2,Powerline Technician,Quarterly Evaluation & Goal Setting,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,BEANSON Greg,BROOKS Shield,,21030,FALSE,Approved,44651,44677.27948,BEANSON Greg,BRUCE Hardy,44677.27948,44942.5699,,,TR2 - Trenton Service Centre,DXLN EAST,BRUCE Hardy (Approved) 7/4/2022 7:32 AM - 7/4/2022 9:23 AM (BRUCE Hardy) ,,,,614,FALSE,FALSE,,,,,TRUE,,3,Completed,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucyÿ- Mentorship Day Workshop,Level 3,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,JOHNONSON John,BROOKS Shield,BEANSON Greg,JOHNONSON John,BROOKS Shield,,21031,FALSE,Approved,,45098,BEANSON Greg,Trades Mentorship Program SA,45099.64831,45152.56861,Suspect Insulators & Restricted Conductors,Work Practices,TR2 - Trenton Service Centre,DXLN EAST,,,,,6673,FALSE,FALSE,,,Continue exposure to the field to identifing suspect insulator and drivin out to show him just in our city of Trenton.?,?Cole was engaged while copleting this work Shop.ÿ He asked good questions that pretained to jobs he has been at recentainly.,TRUE,,4,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucy,Level 2,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,SLOWGO Jason,BROOKS Shield,,21032,FALSE,Approved,,44651,SLOWGO Jason,Trades Mentorship Program SA,44651.47167,45152.56861,UWPC - Chapter 1: The Fundamentals of Work Protection,Utility Work Protection Code (UWPC),TR2 - Trenton Service Centre,DXLN EAST,,,,,568,FALSE,FALSE,,,continue to understand the elecrtical system as far as trouble shooting and work prottection?,?Last month worked on the trouble truck durning the day getting time trouble shotting,TRUE,,3,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucy,Orientation Apprentice,Powerline Technician,Report Card,VAN PELT Lucy,,BROOKS Shield,BEANSON Greg,BRUCE Hardy,BROOKS Shield,,21033,FALSE,Approved,,44694.6133,BRUCE Hardy,BRUCE Hardy,44694.6133,44746.31324,,,TR2 - Trenton Service Centre,DXLN EAST,,,,,680,FALSE,FALSE,Orientation (LAORIE),,,,FALSE,,3,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucyÿ- Mentorship Day Workshop,Level 2,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,BEANSON Greg,BROOKS Shield,,21034,FALSE,Approved,,44854,BEANSON Greg,Trades Mentorship Program SA,44855.51608,45152.56862,Oil Circuit Reclosers,Work Practices,TR2 - Trenton Service Centre,DXLN EAST,,,,,2742,FALSE,FALSE,,,Lucy's goals are to keep working in the bucket each day learning.ÿ He would like to change out a 3 phase bank and install one.?,"?Lucy has been working Bell Firber pole installes transforing singal phase 2400kv, and changing out PCB transformers.",TRUE,,3,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucyÿ- Mentorship Day Workshop,Level 2,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,BEANSON Greg,BROOKS Shield,,21035,FALSE,Approved,,44834,BEANSON Greg,Trades Mentorship Program SA,44841.59081,45152.56862,Other,Miscellaneous,TR2 - Trenton Service Centre,DXLN EAST,,,,,2491,FALSE,FALSE,,,?To keep improving and working at his skills inside the bucket and on the ground.,?Lucy has accomplished some 44KV pole instalations and change over with journey persons de-energized.ÿ Lucy has help out on some underground sub-division instalations.,TRUE,,3,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucyÿ- Mentorship Day Workshop,Level 3,Powerline Technician,Mentorship Day Workshop,VAN PELT Lucy,JOHNONSON John,BROOKS Shield,BEANSON Greg,JOHNONSON John,BROOKS Shield,,21036,FALSE,Approved,,45127,BEANSON Greg,Trades Mentorship Program SA,45131.33216,45152.56863,Oil Circuit Reclosers,Work Practices,TR2 - Trenton Service Centre,DXLN EAST,,,,,7235,FALSE,FALSE,,,I would like more time in the air and live line work.ÿ I would like to be on the RBD setting poles three phase for more practices. and relocating in the air with the MHAD.,"?Cole seened to have a good understanding of the OCR's.ÿ He did learn to the different cycles for voltages, and sizes.",TRUE,,4,,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
VAN PELT Lucyÿ- Q4ÿ- Quarterly Evaluation & Goal Setting,Level 2,Powerline Technician,Quarterly Evaluation & Goal Setting,VAN PELT Lucy,ROSS John,BROOKS Shield,BEANSON Greg,BEANSON Greg,BROOKS Shield,,21037,FALSE,Approved,44561,44560.5765,BEANSON Greg,BRUCE Hardy,44571.5765,44952.26646,,,TR2 - Trenton Service Centre,DXLN EAST,BRUCE Hardy (Approved) 6/30/2022 10:58 AM - 7/4/2022 9:18 AM (BRUCE Hardy) ,,,,50,FALSE,FALSE,,,,,TRUE,,3,Completed,DX LINES,Item,sites/HSE-N-DPT-TDST-22/Lists/ApprenticeTracker
